Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /get,1000,2507,455,26276,2035.49,1.100%,22.30002,13.57,2.72,623.1
POST /post,1000,2623,459,13852,1981.85,0.600%,21.59454,15.09,4.58,715.3
PUT /put,1000,2443,448,15825,1932.80,1.400%,18.08220,12.55,3.80,710.8
DELETE /delete,1000,2521,443,14795,1835.30,1.000%,18.05641,11.46,3.58,650.2
PATCH /patch,1000,2576,457,12450,1852.37,1.100%,17.79233,11.75,3.75,676.5
TOTAL,5000,2534,443,26276,1930.03,1.040%,82.41170,54.34,15.71,675.2
