Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /get,1000,2507,2024,4806,6437,10306,455,26276,1.100%,22.30002,13.57,2.72
POST /post,1000,2623,2091,4738,6834,10377,459,13852,0.600%,21.59454,15.09,4.58
PUT /put,1000,2443,1942,4423,6038,10262,448,15825,1.400%,18.08220,12.55,3.80
DELETE /delete,1000,2521,2049,4481,6418,9563,443,14795,1.000%,18.05641,11.46,3.58
PATCH /patch,1000,2576,2066,4665,7201,9287,457,12450,1.100%,17.79233,11.75,3.75
TOTAL,5000,2534,2031,4608,6542,10201,443,26276,1.040%,82.41170,54.34,15.71
