Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /get,500,3292,472,23926,4807.19,1.60%,13.01507,7.9,1.59,621.3
POST /post,500,3086,452,23364,4477.15,1.60%,10.61256,7.37,2.25,710.9
PUT /put,500,3125,461,22287,4243.77,0.80%,8.38335,5.84,1.76,713.4
DELETE /delete,500,3222,453,23501,4366,1.40%,8.31463,5.27,1.65,648.7
PATCH /patch,500,3258,443,24040,4571.98,0.80%,8.06101,5.34,1.7,677.7
TOTAL,2500,3197,443,24040,4497.99,1.24%,37.58551,24.75,7.16,674.4
