Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /get,500,3292,1503,11552,15698,21696,472,23926,1.60%,13.01507,7.9,1.59
POST /post,500,3086,1471,9202,15273,19722,452,23364,1.60%,10.61256,7.37,2.25
PUT /put,500,3125,1585,9967,13935,18745,461,22287,0.80%,8.38335,5.84,1.76
DELETE /delete,500,3222,1455,10109,14148,19583,453,23501,1.40%,8.31463,5.27,1.65
PATCH /patch,500,3258,1493,10951,14259,20848,443,24040,0.80%,8.06101,5.34,1.7
TOTAL,2500,3197,1501,10485,14653,20506,443,24040,1.24%,37.58551,24.75,7.16
