Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /get,100,1897,457,5179,964.41,1.000%,6.85777,4.18,0.84,623.5
POST /post,100,2211,482,10025,1489.03,1.000%,5.44010,3.79,1.15,713.5
PUT /put,100,2161,492,9381,1496.80,1.000%,5.38503,3.75,1.13,712.5
DELETE /delete,100,1932,461,5433,1039.60,0.000%,5.11797,3.27,1.01,654.0
PATCH /patch,100,1895,487,5945,920.47,0.000%,4.84496,3.22,1.02,681.0
TOTAL,500,2019,457,10025,1217.42,0.600%,18.85654,12.46,3.59,676.9
