Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /get,16000,1186,0,1599,2969,36496,0,85768,82.163%,62.27910,107.90,1.61
POST /post,16000,1170,0,1591,2965,28101,0,84898,82.644%,62.42830,109.56,2.74
PUT /put,16000,1124,0,1527,2729,29192,0,84112,83.181%,62.71362,110.41,2.67
DELETE /delete,16000,1065,0,1472,2706,27392,0,88900,83.713%,63.01371,110.78,2.46
PATCH /patch,16000,1047,0,1453,2549,25770,0,91697,84.225%,63.12982,111.67,2.56
TOTAL,80000,1118,0,1528,2762,28505,0,91697,83.185%,311.39552,546.49,11.96
