Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /get,16000,1186,0,85768,6177.33,82.163%,62.27910,107.90,1.61,1774.1
POST /post,16000,1170,0,84898,6132.23,82.644%,62.42830,109.56,2.74,1797.0
PUT /put,16000,1124,0,84112,6133.66,83.181%,62.71362,110.41,2.67,1802.8
DELETE /delete,16000,1065,0,88900,5844.12,83.713%,63.01371,110.78,2.46,1800.2
PATCH /patch,16000,1047,0,91697,5828.36,84.225%,63.12982,111.67,2.56,1811.4
TOTAL,80000,1118,0,91697,6025.35,83.185%,311.39552,546.49,11.96,1797.1
