Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /get,500,8369,5916,19440,23534,28488,437,29406,0.000%,14.34803,8.79,1.75
POST /post,500,6495,2489,18475,22610,27226,437,31791,0.800%,10.93829,7.63,2.32
PUT /put,500,4664,1894,15309,18085,24223,484,29060,0.600%,9.60596,6.70,2.02
DELETE /delete,500,3440,1654,9129,16604,23937,452,29922,0.600%,10.02185,6.38,1.99
PATCH /patch,500,3472,1660,10864,15163,24064,443,32153,2.200%,8.80080,5.78,1.86
TOTAL,2500,5288,2038,16270,20581,27037,437,32153,0.840%,39.77282,26.25,7.58
