Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /get,500,8369,437,29406,7681.31,0.000%,14.34803,8.79,1.75,627.0
POST /post,500,6495,437,31791,7437.63,0.800%,10.93829,7.63,2.32,714.4
PUT /put,500,4664,484,29060,5997.67,0.600%,9.60596,6.70,2.02,714.3
DELETE /delete,500,3440,452,29922,5073.92,0.600%,10.02185,6.38,1.99,651.7
PATCH /patch,500,3472,443,32153,5080.69,2.200%,8.80080,5.78,1.86,672.0
TOTAL,2500,5288,437,32153,6631.78,0.840%,39.77282,26.25,7.58,675.9
