Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /get,100,2736,1764,7428,8793,15030,463,15923,0.000%,4.19604,2.57,0.51
POST /post,100,2802,1655,6850,11341,13942,566,18359,0.000%,4.14147,2.90,0.88
PUT /put,100,2596,1818,4385,8244,11665,507,15171,0.000%,3.84823,2.69,0.81
DELETE /delete,100,2775,1898,5680,10178,11475,567,14106,0.000%,3.60166,2.30,0.71
PATCH /patch,100,3300,1962,9771,12728,16074,472,16507,0.000%,2.94360,1.96,0.62
TOTAL,500,2842,1810,7428,10276,15030,463,18359,0.000%,12.72491,8.44,2.43
